Nature,When.Reported,Occurred.Between,Case..,Location,Disposition
Fire Alarm,1/11/13 7:51,2013-01-11 07:51:02 and 2013-01-11 07:51:02,1301-0065,119 HONORS WAY; CAWTHON HALL,CLO
Investigation,8/6/13 14:34,2013-08-06 14:34:46 and 2013-08-06 14:34:46,1308-0029,1944 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 10,CLO
Fire Alarm,10/9/13 10:16,2013-10-09 10:16:05 and 2013-10-09 10:16:05,1310-0093,1300 JACKSON BLUFF RD; STADIUM PLACE,CLO
Theft,10/12/13 12:37,2013-10-11 17:00:00 and 2013-10-12 11:00:00,1310-0135,110 N WOODWARD AVE; DIRAC LIBRARY,EXP
Marchman Act,1/21/13 23:31,2013-01-21 23:31:21 and 2013-01-21 23:31:21,1301-0195,CONVOCATION WAY,CLO
Fire Alarm,6/24/13 21:34,2013-06-24 21:34:08 and 2013-06-24 21:34:08,1306-0151,1060 ATOMIC WAY; COLLINS RESEARCH BLDG,CLO
Agency Assist,4/30/13 8:32,2013-04-30 08:32:45 and 2013-04-30 08:32:45,1304-0338,804 W CALL ST; ROVETTA - BLDG A,CLO
Alcohol Offense,7/12/13 20:54,2013-07-12 20:54:29 and 2013-07-12 20:54:29,1307-0085,511 W COLLEGE AVE; Commuter Lot,PEN
Baker Act,6/11/13 16:10,2013-06-11 16:09:58 and 2013-06-11 16:09:58,1306-0070,960 LEARNING WAY; Wellness Center,CLO
Burglary,11/17/13 19:19,2013-11-17 12:00:00 and 2013-11-17 15:00:00,1311-0265,423 W COLLEGE AVE,CLO
Found Property,3/13/13 8:04,2013-03-13 08:04:46 and 2013-03-13 08:04:46,1303-0110,830 W JEFFERSON ST; TANNER HALL,CLO
Drugs,8/26/13 15:37,2013-08-26 15:36:17 and 2013-08-26 15:36:17,1308-0166,OFF CAMPUS,CLO
Wanted Person,12/17/13 8:52,2013-12-17 08:51:54 and 2013-12-17 08:51:54,1312-0170,830 W JEFFERSON ST; TANNER HALL,CLO
Burglary,3/4/13 17:51,2013-03-01 10:30:00 and 2013-03-03 21:00:00,1303-0035,423 W COLLEGE AVE,CLO
Found Property,7/18/13 16:53,2013-07-18 16:52:54 and 2013-07-18 16:52:54,1307-0143,1017 ACADEMIC WAY; LOVE BLDG,CLO
Fraud,1/18/13 17:53,2013-01-18 12:00:00 and 2013-01-18 17:53:56,1301-0162,830 W JEFFERSON ST; TANNER HALL,CLO
Alcohol Offense,1/18/13 22:52,2013-01-18 22:52:20 and 2013-01-18 22:52:20,1301-0163,530 W CALL ST; FINE ARTS BLDG,PEN
Alcohol Offense,1/18/13 1:33,2013-01-18 01:32:59 and 2013-01-18 01:32:59,1301-0153,459 W COLLEGE AVE; Potbellies,CLO
Alcohol Offense,1/20/13 22:47,2013-01-20 22:47:29 and 2013-01-20 22:47:29,1301-0183,850 W PENSACOLA ST,CLO
Sick/Inj Person,3/3/13 20:38,2013-03-03 20:37:55 and 2013-03-03 20:37:55,1303-0023,118 VARSITY WAY; LEACH CENTER,CLO
Theft,6/19/13 7:28,2013-06-18 20:30:00 and 2013-06-19 04:00:00,1306-0111,89 N WOODWARD AVE; UNION,CLO
Drugs,1/16/13 10:29,2013-01-16 10:29:15 and 2013-01-16 10:29:15,1301-0120,74 CHIEFTAN WAY; KELLUM HALL,CLO
Traffic Offense,10/31/13 4:05,2013-10-31 04:05:03 and 2013-10-31 04:05:07,1310-0415,270 CHIEFTAN WAY; HOWSER STADIUM,PEN
Information Bul,10/15/13 9:21,2013-10-07 16:52:00 and 2013-10-08 12:00:00,1310-0177,830 W JEFFERSON ST; TANNER HALL,CLO
Theft,7/5/13 10:10,2013-06-25 09:00:00 and 2013-07-03 15:00:00,1307-0023,945 LEARNING WAY; TRADITIONS HALL,CLO
Sick/Inj Person,6/10/13 13:15,2013-06-10 13:15:18 and 2013-06-10 13:15:18,1306-0063,400 CHAPEL DR; Bike Trail,CLO
Alcohol Offense,4/26/13 0:37,2013-04-26 00:37:22 and 2013-04-26 00:37:22,1304-0293,459 W COLLEGE AVE; Potbellies,PEN
Sick/Inj Person,9/11/13 14:41,2013-09-11 14:41:33 and 2013-09-11 14:41:33,1309-0132,820 W MADISON ST; RECYCLING CENTER,CLO
Sick/Inj Person,1/10/13 12:59,2013-01-10 12:59:25 and 2013-01-10 12:59:25,1301-0054,143 HONORS WAY; JOHNSTON BLDG,CLO
Marchman Act,9/6/13 22:35,2013-09-06 22:34:43 and 2013-09-06 22:34:43,1309-0082,1106 W CALL ST; SALLEY HALL,CLO
Traff Crash 4,10/10/13 10:48,2013-10-10 10:48:00 and 2013-10-10 10:50:21,1310-0110,1122 SPIRIT WAY; PARKING GARAGE #3,CLO
Property Damage,11/27/13 9:46,2013-11-27 09:46:27 and 2013-11-27 09:46:27,1311-0395,505 W PENSACOLA ST; Civic Center,CLO
Burglary,9/1/13 13:57,2013-08-26 00:01:00 and 2013-09-01 13:38:05,1309-0008,1122 SPIRIT WAY; PARKING GARAGE #3,CLO
Domestic,7/27/13 3:13,2013-07-27 03:13:31 and 2013-07-27 03:13:31,1307-0229,814 W TENNESSEE ST; DEGRAFF LOT,CLO
Alcohol Offense,10/3/13 0:30,2013-10-03 00:30:00 and 2013-10-03 00:30:00,1310-0023,511 W COLLEGE AVE; Commuter Lot,PEN
Disturbance,2/15/13 22:01,2013-02-15 22:01:28 and 2013-02-15 22:01:28,1302-0159,267 CHIEFTAN WAY; CIRCUS LOT,CLO
Found Property,9/5/13 10:16,2013-09-05 10:16:28 and 2013-09-05 10:16:28,1309-0049,812 W JEFFERSON ST; DORMAN HALL,CLO
Investigation,8/21/13 12:26,2013-08-21 11:20:00 and 2013-08-21 11:20:00,1308-0112,89 CHIEFTAN WAY; BIOLOGY UNIT I,CLO
Welfare Check,2/22/13 8:47,2013-02-22 08:47:47 and 2013-02-22 08:47:47,1302-0230,153 BLISS DR,CLO
Suspicious Act.,10/20/13 2:13,2013-10-20 02:13:50 and 2013-10-20 02:13:50,1310-0239,530 W CALL ST; FINE ARTS BLDG,CLO
Fire Alarm,8/15/13 15:06,2013-08-15 15:06:02 and 2013-08-15 15:06:02,1308-0081,938 W JEFFERSON ST; WILDWOOD NO.1,CLO
Sick/Inj Person,5/31/13 15:13,2013-05-31 15:13:26 and 2013-05-31 15:13:26,1305-0219,270 CHIEFTAN WAY; HOWSER STADIUM,CLO
Found Property,10/26/13 22:44,2013-10-26 22:44:20 and 2013-10-26 22:44:20,1310-0353,411 STADIUM DR; CAMPBELL STADIUM,CLO
Sick/Inj Person,6/18/13 15:11,2013-06-18 15:11:09 and 2013-06-18 15:11:09,1306-0106,118 VARSITY WAY; LEACH CENTER,CLO
Crim Mischief,4/2/13 18:38,2013-04-02 18:38:52 and 2013-04-02 18:38:52,1304-0016,100 S WOODWARD AVE; WOODJEFF LOT,CLO
Burglary,4/25/13 12:49,2013-04-25 01:30:00 and 2013-04-25 09:00:00,1304-0273,503 W PARK AVE,CLO
Sick/Inj Person,6/5/13 10:14,2013-06-05 10:14:44 and 2013-06-05 10:14:44,1306-0024,3000 SCHOOLHOUSE RD; FLORIDA HIGH,CLO
Traff Crash 4,9/24/13 14:23,2013-09-24 14:23:18 and 2013-09-24 14:23:18,1309-0287,414 WALKER ST; Parking Garage #6,CLO
Found Property,12/6/13 14:55,2013-12-06 14:55:49 and 2013-12-06 14:55:49,1312-0060,808 W TENNESSEE ST; DEGRAFF EAST,CLO
Fire Alarm,12/10/13 11:53,2013-12-10 11:53:28 and 2013-12-10 11:53:28,1312-0109,505 W PENSACOLA ST; Civic Center,CLO
Theft,2/28/13 14:53,2013-02-28 13:15:00 and 2013-02-28 14:45:00,1302-0294,110 N WOODWARD AVE; DIRAC LIBRARY,CLO
Burglary,5/17/13 18:46,2013-05-09 16:00:00 and 2013-05-17 18:46:06,1305-0126,104 N WOODWARD AVE; Parking Garage #1,CLO
Traff Hit/Run 3,11/2/13 18:14,2013-11-02 18:14:03 and 2013-11-02 18:14:03,1311-0059,506 W PENSACOLA ST; COLLEGE OF LAW,CLO
Drugs,8/19/13 22:48,2013-08-19 22:48:37 and 2013-08-19 22:48:37,1308-0101,810 W TENNESSEE ST; DEGRAFF WEST,CLO
Fire Alarm,7/4/13 17:09,2013-07-04 17:00:00 and 2013-07-04 17:22:27,1307-0019,1952 HERITAGE GROVE CIR; PHI KAPPA ALPHA FRATERNITY,CLO
Fire Alarm,7/30/13 13:24,2013-07-30 13:24:14 and 2013-07-30 13:24:14,1307-0268,87 N WOODWARD AVE; OGLESBY UNION - ACTIVITIES BLD,CLO
Lost Property,10/31/13 20:54,2013-10-31 19:00:00 and 2013-10-31 20:53:56,1310-0422,989 LEARNING WAY; CLASSROOM FACILITY,CLO
Fire Alarm,7/8/13 2:32,2013-07-08 02:32:55 and 2013-07-08 02:32:55,1307-0041,1947 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 13,CLO
Sick/Inj Person,11/19/13 21:59,2013-11-19 21:59:27 and 2013-11-19 21:59:27,1311-0295,118 VARSITY WAY; LEACH CENTER,CLO
Theft,5/3/13 9:48,2013-05-03 09:48:18 and 2013-05-03 09:48:18,1305-0028,989 LEARNING WAY; CLASSROOM FACILITY,CLO
Fire Alarm,8/6/13 15:05,2013-08-06 15:01:00 and 2013-08-06 15:04:37,1308-0030,409 E GAINES ST; Firestone Bldg,CLO
Information Bul,4/23/13 13:12,2013-04-23 13:12:08 and 2013-04-23 13:12:08,1304-0243,821 ACADEMIC WAY; ROVETTA BLDG B,CLO
Special Assignm,3/6/13 12:56,2013-03-06 12:56:10 and 2013-03-06 12:56:10,1303-0061,282 CHAMPIONS WAY; UNIVERSITY CENTER A,CLO
Stalking,1/31/13 20:03,2013-01-31 20:03:13 and 2013-01-31 20:03:13,1301-0307,119 HONORS WAY ; CAWTHON HALL,CLO
Sick/Inj Person,11/20/13 18:54,2013-11-20 18:54:02 and 2013-11-20 18:54:02,1311-0304,875 TRADITIONS WAY; Dennys,CLO
Sick/Inj Person,12/2/13 16:30,2013-12-02 16:29:46 and 2013-12-02 16:29:46,1312-0011,3000 SCHOOLHOUSE RD; FLORIDA HIGH,CLO
Drugs,3/20/13 23:31,2013-03-20 23:31:10 and 2013-03-20 23:31:10,1303-0169,860 TRADITIONS WAY; PARKING GARAGE #2,CLO
Alcohol Offense,8/29/13 23:58,2013-08-29 23:58:11 and 2013-08-29 23:58:11,1308-0243,1940 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 9,CLO
Sick/Inj Person,5/28/13 23:02,2013-05-28 18:00:00 and 2013-05-28 18:05:00,1305-0197,1115 W CALL ST; THRASHER MEDICAL SCHOOL,CLO
Theft,2/21/13 14:23,2013-02-17 23:00:00 and 2013-02-17 23:20:00,1302-0214,830 W JEFFERSON ST; TANNER HALL,CLO
Traff Crash 4,8/29/13 13:34,2013-08-29 13:32:26 and 2013-08-29 13:32:26,1308-0228,1030 W TENNESSEE ST; ALUMNI CENTER FACILITY,CLO
Lost Property,11/21/13 8:18,2013-11-21 08:18:03 and 2013-11-21 08:18:03,1311-0309,296 CHAMPIONS WAY; UNIVERSITY CENTER C,CLO
Special Assignm,4/25/13 21:42,2013-04-25 21:42:46 and 2013-04-25 21:42:46,1304-0282,830 W JEFFERSON ST; TANNER HALL,CLO
Sick/Inj Person,8/22/13 11:23,2013-08-22 11:22:55 and 2013-08-22 11:22:55,1308-0120,411 STADIUM DR; CAMPBELL STADIUM,CLO
Sick/Inj Person,2/24/13 1:41,2013-02-24 01:41:15 and 2013-02-24 01:41:15,1302-0249,812 W JEFFERSON ST; DORMAN HALL,CLO
Traff Hit/Run 3,8/18/13 20:10,2013-08-18 20:09:58 and 2013-08-18 20:09:58,1308-0096,74 CHIEFTAN WAY; KELLUM HALL,CLO
Special Assignm,11/2/13 16:20,2013-11-02 16:20:30 and 2013-11-02 16:20:30,1311-0052,830 W JEFFERSON ST; TANNER HALL,CLO
Sick/Inj Person,9/3/13 11:49,2013-09-03 11:48:46 and 2013-09-03 11:48:46,1309-0027,1017 ACADEMIC WAY; LOVE BLDG,CLO
Special Assignm,11/12/13 18:58,2013-11-12 18:58:46 and 2013-11-12 18:58:46,1311-0188,LAKE BRADFORD RD,CLO
Fire Alarm,5/13/13 15:17,2013-05-13 15:17:01 and 2013-05-13 15:17:01,1305-0089,1147 ACADEMIC WAY; ROGERS HALL,CLO
Lost Property,8/27/13 23:59,2013-08-27 23:59:07 and 2013-08-27 23:59:07,1308-0192,ACADEMIC WAY & MURPHREE ST,CLO
Burglary,5/22/13 17:03,2013-05-22 17:03:11 and 2013-05-22 17:03:11,1305-0158,860 TRADITIONS WAY; PARKING GARAGE #2,CLO
Sick/Inj Person,9/9/13 17:57,2013-09-09 17:57:15 and 2013-09-09 17:57:15,1309-0107,118 VARSITY WAY; LEACH CENTER,CLO
Traffic Offense,11/1/13 11:26,2013-11-01 11:26:06 and 2013-11-01 11:26:07,1311-0016,STADIUM DR,PEN
Alcohol Offense,1/17/13 22:11,2013-01-17 22:11:40 and 2013-01-17 22:11:40,1301-0141,511 W COLLEGE AVE; Commuter Lot,CLO
Sick/Inj Person,8/31/13 20:27,2013-08-31 20:27:16 and 2013-08-31 20:27:16,1308-0268,202 VARSITY DR; WILDWOOD NO.2,CLO
Theft,11/29/13 0:50,2013-11-29 00:50:37 and 2013-11-29 00:50:37,1311-0401,127 HONORS WAY; JOHNSTON BLDG ANNEX,CLO
Suspicious Act.,7/15/13 17:28,2013-07-15 17:28:06 and 2013-07-15 17:28:06,1307-0103,504 W CALL ST; PARKING GARAGE #4,CLO
Citizen Assist,10/30/13 15:57,2013-10-30 15:57:26 and 2013-10-30 15:57:26,1310-0402,150 CONVOCATION WAY; SUWANNEE ROOM,CLO
Sick/Inj Person,9/8/13 21:07,2013-09-08 21:07:54 and 2013-09-08 21:07:54,1309-0099,633 W JEFFERSON ST; GAMMA PHI BETA,CLO
Lost Property,8/24/13 10:41,2013-08-24 10:41:17 and 2013-08-24 10:41:17,1308-0145,830 W JEFFERSON ST; TANNER HALL,CLO
Fire Alarm,9/22/13 9:48,2013-09-22 09:48:08 and 2013-09-22 09:48:08,1309-0266,2525 POTTSDAMER ST; COLLEGE OF ENGINEERING,CLO
Intox Person 2,3/23/13 2:08,2013-03-23 02:07:48 and 2013-03-23 02:07:48,1303-0196,1106 W CALL ST; SALLEY HALL,CLO
DUI,6/8/13 2:25,2013-06-08 02:24:58 and 2013-06-08 02:25:00,1306-0046,HENDRY ST,PEN
Information Bul,9/19/13 21:27,2013-09-19 21:27:14 and 2013-09-19 21:27:14,1309-0236,1924 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 7,CLO
Sick/Inj Person,9/12/13 2:32,2013-09-12 02:32:21 and 2013-09-12 02:32:21,1309-0146,285 CHAMPIONS WAY; UNIVERSITY CENTER LOTS,CLO
Sick/Inj Person,10/20/13 12:17,2013-10-20 12:17:44 and 2013-10-20 12:17:44,1310-0244,938 W JEFFERSON ST; WILDWOOD NO.1,CLO
Official Paper,4/12/13 8:16,2013-04-12 08:16:00 and 2013-04-12 08:16:00,1304-0117,282 CHAMPIONS WAY; UNIVERSITY CENTER A,CLO
Theft,8/2/13 18:42,2013-07-30 18:00:00 and 2013-08-02 18:41:10,1308-0011,945 LEARNING WAY; TRADITIONS HALL,CLO
Drugs,7/10/13 22:57,2013-07-10 22:57:25 and 2013-07-10 22:57:25,1307-0071,808 W TENNESSEE ST; DEGRAFF EAST,PEN
Fire Alarm,6/2/13 4:37,2013-06-02 04:37:34 and 2013-06-02 04:37:34,1306-0007,125 CONVOCATION WAY; LONGMIRE BLDG,CLO
Official Paper,8/2/13 16:09,2013-08-02 16:08:34 and 2013-08-02 16:08:34,1308-0010,2060 CONTINENTAL AVE.,CLO
Fire Alarm,12/14/13 8:09,2013-12-14 08:09:02 and 2013-12-14 08:09:02,1312-0154,989 LEARNING WAY; CLASSROOM FACILITY,CLO
Fire Alarm,5/1/13 2:42,2013-05-01 02:42:11 and 2013-05-01 02:42:11,1305-0001,1721 PAUL DIRAC DR; ELBIT BLDG,CLO
Fire Alarm,6/29/13 0:40,2013-06-29 00:39:24 and 2013-06-29 00:39:24,1306-0184,300 M L KING BLVD S,CLO
Sick/Inj Person,10/28/13 21:47,2013-10-28 21:47:03 and 2013-10-28 21:47:03,1310-0376,144 HONORS WAY; LANDIS GREEN,CLO
Burglary,2/4/13 10:20,2013-02-01 16:10:00 and 2013-02-02 16:53:00,1302-0037,809 ACADEMIC WAY; CONRADI BLDG,CLO
Theft,4/2/13 14:55,2013-04-02 13:45:00 and 2013-04-02 14:00:00,1304-0010,411 STADIUM DR; CAMPBELL STADIUM,CLO
Traffic Offense,1/17/13 2:07,2013-01-17 02:07:40 and 2013-01-17 02:07:42,1301-0128,GRAY ST & W JEFFERSON ST,CLO
Theft,6/13/13 18:39,2013-06-13 18:39:07 and 2013-06-13 18:39:07,1306-0084,945 LEARNING WAY; TRADITIONS HALL,CLO
Theft,10/9/13 15:18,2013-10-06 21:00:00 and 2013-10-08 08:00:00,1310-0098,143 HONORS WAY; JOHNSTON BLDG,CLO
Traff Hit/Run 3,10/4/13 8:50,2013-10-04 08:50:00 and 2013-10-04 08:50:00,1310-0039,104 N WOODWARD AVE; Parking Garage #1,PEN
Traff Crash 4,12/9/13 7:23,2013-12-09 07:23:53 and 2013-12-09 07:23:53,1312-0092,VARSITY DR,CLO
Found Property,12/3/13 14:21,2013-12-03 14:21:08 and 2013-12-03 14:21:08,1312-0023,1159 HULL DR; WESTSIDE COURTS PAVILION,CLO
Fraud,4/5/13 16:28,2013-04-05 15:30:00 and 2013-04-05 15:40:00,1304-0046,830 W JEFFERSON ST; TANNER HALL,CLO
Battery,11/2/13 20:47,2013-11-02 20:47:25 and 2013-11-02 20:47:25,1311-0080,555 W JEFFERSON ST,EXP
Investigation,9/11/13 11:36,2013-09-11 11:36:11 and 2013-09-11 11:36:11,1309-0135,830 W JEFFERSON ST; TANNER HALL,CLO
Fire Alarm,11/14/13 18:06,2013-11-14 18:06:16 and 2013-11-14 18:06:16,1311-0211,74 CHIEFTAN WAY; KELLUM HALL,CLO
Alcohol Offense,10/12/13 22:19,2013-10-12 22:19:35 and 2013-10-12 22:19:35,1310-0142,HERITAGE GROVE CIR,PEN
Fire Alarm,7/27/13 15:01,2013-07-27 15:01:08 and 2013-07-27 15:01:08,1307-0231,633 W JEFFERSON ST; GAMMA PHI BETA,CLO
Drugs,8/28/13 0:24,2013-08-28 00:24:30 and 2013-08-28 00:24:30,1308-0193,830 W JEFFERSON ST; TANNER HALL,PEN
Investigation,11/24/13 22:59,2013-11-24 22:59:34 and 2013-11-24 22:59:34,1311-0374,812 W JEFFERSON ST; DORMAN HALL,CLO
Citizen Assist,7/30/13 23:46,2013-07-30 23:46:26 and 2013-07-30 23:46:26,1307-0273,89 N WOODWARD AVE; UNION,CLO
Theft,1/16/13 11:04,2013-01-15 23:45:00 and 2013-01-16 00:45:00,1301-0121,Salley Hall Basketball Courts,CLO
Theft,10/14/13 15:40,2013-10-14 13:00:00 and 2013-10-14 13:05:00,1310-0166,282 CHAMPIONS WAY; UNIVERSITY CENTER A,CLO
Alcohol Offense,7/14/13 0:50,2013-07-14 00:50:30 and 2013-07-14 00:50:30,1307-0092,1912 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 4,PEN
Traffic Offense,10/15/13 21:51,2013-10-15 21:50:58 and 2013-10-15 21:51:00,1310-0186,W TENNESSEE ST & DEWEY ST,PEN
Sick/Inj Person,3/23/13 3:43,2013-03-23 03:43:21 and 2013-03-23 03:43:21,1303-0199,702 UNIVERSITY WAY; GILCHRIST HALL,CLO
Battery,12/10/13 2:05,2013-12-10 02:05:05 and 2013-12-10 02:05:05,1312-0104,202 VARSITY DR; WILDWOOD NO.2,CLO
Sick/Inj Person,2/11/13 16:24,2013-02-11 16:24:30 and 2013-02-11 16:24:30,1302-0113,1920 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 6,CLO
Investigation,3/7/13 19:07,2013-03-07 19:07:39 and 2013-03-07 19:07:39,1303-0078,830 W JEFFERSON ST; TANNER HALL,CLO
Traff Crash 4,1/10/13 8:02,2013-01-10 08:01:45 and 2013-01-10 08:01:45,1301-0050,STADIUM DR & HENDRY ST,CLO
Suspicious Act.,1/16/13 17:35,2013-01-16 17:35:04 and 2013-01-16 17:35:04,1301-0123,S WOODWARD AVE,CLO
Arson,4/19/13 8:14,2013-04-18 13:00:00 and 2013-04-19 05:00:00,1304-0197,114 N COPELAND ST; KUERSTEINER MUSIC BLDG,CLO
Welfare Check,4/11/13 20:48,2013-04-11 20:48:13 and 2013-04-11 20:48:13,1304-0115,500 CHAPEL DR,CLO
Traff Crash 4,1/25/13 16:07,2013-01-25 16:07:03 and 2013-01-25 16:07:03,1301-0239,VARSITY DR & W ST AUGUSTINE ST,CLO
Alcohol Offense,9/19/13 22:14,2013-09-19 22:14:00 and 2013-09-19 22:14:00,1309-0238,1920 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 6,PEN
Fraud,1/19/13 15:07,2013-01-10 20:46:00 and 2013-01-19 15:06:56,1301-0171,830 W JEFFERSON ST; TANNER HALL,CLO
Sick/Inj Person,11/26/13 9:02,2013-11-26 09:02:36 and 2013-11-26 09:02:36,1311-0387,969 LEARNING WAY; MENDENHALL MAINT A,CLO
Marchman Act,11/1/13 2:18,2013-11-01 02:18:49 and 2013-11-01 02:18:49,1311-0008,115 HONORS WAY; Cawthon Hall Lot,PAT
Baker Act,8/20/13 23:22,2013-08-20 23:22:34 and 2013-08-20 23:22:34,1308-0110,814 W TENNESSEE ST; DEGRAFF LOT,CLO
Found Property,4/12/13 19:49,2013-04-12 19:48:39 and 2013-04-12 19:48:39,1304-0123,202 VARSITY DR; WILDWOOD NO.2,CLO
Traff Crash 4,10/29/13 10:37,2013-10-29 10:30:00 and 2013-10-29 10:37:22,1310-0379,288 CHAMPIONS WAY; UNIVERSITY CENTER B,CLO
Found Property,10/3/13 12:05,2013-10-03 12:05:35 and 2013-10-03 12:05:35,1310-0027,860 TRADITIONS WAY; PARKING GARAGE #2,CLO
Baker Act,11/8/13 13:40,2013-11-08 13:40:21 and 2013-11-08 13:40:21,1311-0157,960 LEARNING WAY; Wellness Center,CLO
Crim Mischief,2/2/13 1:42,2013-02-02 01:42:37 and 2013-02-02 01:42:37,1302-0015,808 W TENNESSEE ST; DEGRAFF EAST,CLO
Sick/Inj Person,8/27/13 8:28,2013-08-27 08:28:29 and 2013-08-27 08:28:29,1308-0181,113 COLLEGIATE LOOP; BELLAMY BLDG,CLO
Sick/Inj Person,4/27/13 0:33,2013-04-27 00:33:06 and 2013-04-27 00:33:06,1304-0315,808 W TENNESSEE ST; DEGRAFF EAST,CLO
Theft,2/6/13 3:08,2013-02-06 11:00:00 and 2013-02-06 03:00:00,1302-0056,810 W TENNESSEE ST; DEGRAFF WEST,CLO
Suspicious Act.,9/5/13 11:36,2013-09-05 11:36:25 and 2013-09-05 11:36:25,1309-0052,282 CHAMPIONS WAY; UNIVERSITY CENTER A,CLO
Lost Property,2/14/13 8:52,2013-02-14 08:52:24 and 2013-02-14 08:52:24,1302-0145,,CLO
Burglary,7/17/13 0:54,2013-07-17 00:53:44 and 2013-07-17 00:53:44,1307-0120,206 S WOODWARD AVE; BLACK STUDENT UNION,PEN
Welfare Check,1/15/13 18:09,2013-01-15 18:09:04 and 2013-01-15 18:09:04,1301-0111,830 W JEFFERSON ST; TANNER HALL,CLO
Alcohol Offense,11/2/13 20:43,2013-11-02 20:43:19 and 2013-11-02 20:43:19,1311-0078,139 CHIEFTAN WAY; TULLY GYM,CLO
Burglary,7/16/13 12:39,2013-07-11 16:15:00 and 2013-07-16 12:30:00,1307-0111,1114 W CALL ST; STONE BLDG,CLO
Alcohol Offense,10/12/13 22:06,2013-10-12 22:06:21 and 2013-10-12 22:06:21,1310-0141,1920 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 4,PEN
Sick/Inj Person,3/27/13 11:54,2013-03-27 11:54:08 and 2013-03-27 11:54:08,1303-0228,113 COLLEGIATE LOOP; BELLAMY BLDG,CLO
Sick/Inj Person,5/3/13 7:50,2013-05-03 07:50:52 and 2013-05-03 07:50:52,1305-0026,119 HONORS WAY; CAWTHON HALL,CLO
DUI,6/12/13 23:08,2013-06-12 23:08:16 and 2013-06-12 23:08:16,1306-0076,college town,PEN
Investigation,4/21/13 23:21,2013-04-21 23:21:43 and 2013-04-21 23:21:43,1304-0227,830 W JEFFERSON ST; TANNER HALL,CLO
Drugs,7/26/13 23:03,2013-07-26 23:03:07 and 2013-07-26 23:03:07,1307-0232,714 UNIVERSITY WAY; LANDIS HALL,PEN
Disturbance,11/20/13 12:47,2013-11-20 12:47:39 and 2013-11-20 12:47:39,1311-0301,89 N WOODWARD AVE; UNION,CLO
Suspicious Act.,12/29/13 23:13,2013-12-29 23:13:01 and 2013-12-29 23:13:01,1312-0200,411 STADIUM DR; CAMPBELL STADIUM,CLO
Agency Assist,5/28/13 3:52,2013-05-28 03:52:39 and 2013-05-28 03:52:40,1305-0188,W GAINES ST,CLO
Suspicious Act.,8/3/13 23:23,2013-08-03 23:23:17 and 2013-08-03 23:23:17,1308-0019,506 W PENSACOLA ST; COLLEGE OF LAW,CLO
Theft,5/8/13 0:52,2013-05-08 00:02:00 and 2013-05-08 00:52:41,1305-0070,1165 ACADEMIC WAY; MCCOLLUM HALL,CLO
Investigation,4/18/13 12:31,2013-04-18 12:30:57 and 2013-04-18 12:30:57,1304-0185,830 W JEFFERSON ST; TANNER HALL,CLO
Welfare Check,11/14/13 14:34,2013-11-14 14:33:57 and 2013-11-14 14:33:57,1311-0209,282 CHAMPIONS WAY; UNIVERSITY CENTER A,CLO
Found Property,2/8/13 15:03,2013-02-08 15:03:08 and 2013-02-08 15:03:08,1302-0083,1106 W CALL ST; SALLEY HALL,CLO
Official Paper,3/21/13 2:36,2013-03-21 02:36:45 and 2013-03-21 02:36:45,1303-0173,714 UNIVERSITY WAY; LANDIS HALL,CLO
Sick/Inj Person,3/25/13 9:44,2013-03-25 09:00:00 and 2013-03-25 09:00:00,1303-0209,403 STADIUM DR; UNIVERSITY CENTER D,CLO
Alcohol Offense,4/26/13 0:12,2013-04-26 00:12:58 and 2013-04-26 00:12:58,1304-0290,459 W COLLEGE AVE; Potbellies,PEN
Sick/Inj Person,2/20/13 1:10,2013-02-20 01:10:12 and 2013-02-20 01:10:12,1302-0206,830 W JEFFERSON ST; TANNER HALL,CLO
Domestic,2/22/13 4:36,2013-02-22 04:36:10 and 2013-02-22 04:36:10,1302-0226,1900 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 1,CLO
Property Damage,9/23/13 16:34,2013-09-23 16:34:23 and 2013-09-23 16:34:23,1309-0277,109 COLLEGIATE LOOP; THAGARD HEALTH CENTER,CLO
Welfare Check,10/14/13 12:04,2013-10-14 12:02:37 and 2013-10-14 12:02:37,1310-0164,78 CHIEFTAN WAY; SMITH HALL,CLO
Traff Crash 4,10/30/13 15:06,2013-10-30 15:06:55 and 2013-10-30 15:06:55,1310-0401,104 N WOODWARD AVE; Parking Garage #1,CLO
Fire Alarm,9/6/13 11:32,2013-09-06 11:31:58 and 2013-09-06 11:31:58,1309-0076,319 STADIUM DR; KING LIFE SCI. BLDG,CLO
Sick/Inj Person,9/24/13 11:38,2013-09-24 11:38:18 and 2013-09-24 11:38:18,1309-0283,139 CHIEFTAN WAY; TULLY GYM,CLO
Burglary,7/18/13 21:57,2013-07-18 21:57:30 and 2013-07-18 21:57:30,1307-0144,78 CHIEFTAN WAY; SMITH HALL,CLO
